Budget,Revenue,Title,Average Vote,release_date,Release Year,"Revenue, USD mln","Budget, USD mln","Revenue Adjusted, USD mln",Revenue Adjusted,"Budget Adjusted, USD mln",Outlier,Starring Actors Popularity
207000000,550000000,King Kong,6.6,2005-12-14,2005.0,550.0,207.0,784.1684877653986,784168487.7653986,295.1325035771591,False,693.2509479693492
200000000,783766341,Spider-Man 2,6.7,2004-06-25,2004.0,783.766341,200.0,1150.9872952270755,1150987295.2270753,293.706742690313,False,1903.8623543891504
225000000,419651413,The Chronicles of Narnia: Prince Caspian,6.3,2008-05-15,2008.0,419.651413,225.0,547.5499102384514,547549910.2384514,293.5739663615801,False,1003.5624908235743
210000000,459359555,X-Men: The Last Stand,6.3,2006-05-24,2006.0,459.359555,210.0,635.861054871909,635861054.871909,290.68911285213363,False,5197.240467972321
250000000,1021103568,The Hobbit: An Unexpected Journey,7.0,2012-11-26,2012.0,1021.103568,250.0,1183.738893557627,1183738893.5576272,289.81851857500004,False,6092.421267509754
250000000,1084939099,The Dark Knight Rises,7.6,2012-07-16,2012.0,1084.939099,250.0,1257.7417696651012,1257741769.665101,289.81851857500004,False,3066.4338253475216
170000000,222104681,Wild Wild West,5.1,1999-06-29,1999.0,222.104681,170.0,378.11835199054246,378118351.9905425,289.4136204107838,False,3130.5400907765847
160000000,164508066,Speed 2: Cruise Control,4.1,1997-06-13,1997.0,164.508066,160.0,297.1198661963376,297119866.1963376,288.9777975471064,False,1131.231417682239
255000000,89289910,The Lone Ranger,5.9,2013-07-03,2013.0,89.28991,255.0,100.49658034910712,100496580.34910712,287.00474655000005,False,8543.659149396
250000000,958400000,The Hobbit: The Desolation of Smaug,7.6,2013-12-11,2013.0,958.4,250.0,1078.687643504,1078687643.5040002,281.3772025,False,7103.693698228162
200000000,1065659812,Pirates of the Caribbean: Dead Man's Chest,7.0,2006-06-20,2006.0,1065.659812,200.0,1475.1224064402454,1475122406.4402454,276.8467741448892,False,3003.0753096268895
250000000,956019788,The Hobbit: The Battle of the Five Armies,7.1,2014-12-10,2014.0,956.019788,250.0,1044.668634881876,1044668634.881876,273.18175,False,7988.341126022861
250000000,747862775,X-Men: Days of Future Past,7.5,2014-05-15,2014.0,747.862775,250.0,817.209846537425,817209846.537425,273.18175,False,3703.711513692394
160000000,61698899,The 13th Warrior,6.4,1999-08-27,1999.0,61.698899,160.0,105.03824549970169,105038245.4997017,272.3892897983847,False,782.5346567216523
200000000,586090727,Quantum of Solace,6.1,2008-10-30,2008.0,586.090727,200.0,764.7154638805868,764715463.8805867,260.954636765849,False,1499.3010125535543
225000000,624026776,Men in Black 3,6.2,2012-05-23,2012.0,624.026776,225.0,723.4180630858135,723418063.0858135,260.8366667175,False,6918.940123870579
245000000,880674609,Spectre,6.3,2015-10-26,2015.0,880.674609,245.0,934.3076926881,934307692.6881,259.9205,False,3853.6205791280036
