Title,Actor
X-Men,Ian McKellen
Wanted,Angelina Jolie
Wanted,James McAvoy
Wanted,Morgan Freeman
The Rock,Sean Connery
The Rock,Nicolas Cage
The Rock,Ed Harris
Ice Age: The Meltdown,Ray Romano
Ice Age: The Meltdown,John Leguizamo
Ice Age: The Meltdown,Denis Leary
50 First Dates,Adam Sandler
50 First Dates,Drew Barrymore
50 First Dates,Rob Schneider
Hairspray,John Travolta
Hairspray,Michelle Pfeiffer
Hairspray,Christopher Walken
Exorcist: The Beginning,Stellan Skarsgård
Exorcist: The Beginning,Izabella Scorupco
Exorcist: The Beginning,James D'Arcy
Inspector Gadget,Matthew Broderick
Inspector Gadget,Rupert Everett
Inspector Gadget,Joely Fisher
Now You See Me,Jesse Eisenberg
Now You See Me,Mark Ruffalo
Now You See Me,Woody Harrelson
Grown Ups,Adam Sandler
Grown Ups,Salma Hayek
Grown Ups,Maria Bello
The Terminal,Tom Hanks
The Terminal,Catherine Zeta-Jones
The Terminal,Stanley Tucci
Hotel for Dogs,Emma Roberts
Hotel for Dogs,Jake T. Austin
Hotel for Dogs,Don Cheadle
Vertical Limit,Chris O'Donnell
Vertical Limit,Robin Tunney
Vertical Limit,Bill Paxton
Charlie Wilson's War,Tom Hanks
Charlie Wilson's War,Philip Seymour Hoffman
Charlie Wilson's War,Julia Roberts
Shark Tale,Will Smith
Shark Tale,Robert De Niro
Shark Tale,Renée Zellweger
Dreamgirls,Jamie Foxx
Dreamgirls,Beyoncé Knowles
Dreamgirls,Eddie Murphy
Be Cool,John Travolta
Be Cool,Uma Thurman
Be Cool,Vince Vaughn
Munich,Eric Bana
Munich,Daniel Craig
Munich,Ciarán Hinds
Tears of the Sun,Bruce Willis
Tears of the Sun,Monica Bellucci
Tears of the Sun,Cole Hauser
Killers,Katherine Heigl
Killers,Ashton Kutcher
Killers,Tom Selleck
The Man from U.N.C.L.E.,Henry Cavill
The Man from U.N.C.L.E.,Armie Hammer
The Man from U.N.C.L.E.,Alicia Vikander
Spanglish,Adam Sandler
Spanglish,Téa Leoni
Spanglish,Paz Vega
Monster House,Ryan Newman
Monster House,Steve Buscemi
Monster House,Mitchel Musso
Bandits,Bruce Willis
Bandits,Billy Bob Thornton
Bandits,Cate Blanchett
First Knight,Sean Connery
First Knight,Richard Gere
First Knight,Julia Ormond
Anna and the King,Jodie Foster
Anna and the King,Chow Yun-fat
Anna and the King,Bai Ling
Immortals,Mickey Rourke
Immortals,Kellan Lutz
Immortals,Isabel Lucas
Hostage,Bruce Willis
Hostage,Kevin Pollak
Hostage,Jimmy Bennett
Titan A.E.,Matt Damon
Titan A.E.,Bill Pullman
Titan A.E.,Drew Barrymore
Hollywood Homicide,Harrison Ford
Hollywood Homicide,Josh Hartnett
Hollywood Homicide,Lena Olin
Soldier,Kurt Russell
Soldier,Jason Scott Lee
Soldier,Jason Isaacs
Carriers,Lou Taylor Pucci
Carriers,Chris Pine
Carriers,Piper Perabo
Monkeybone,Brendan Fraser
Monkeybone,Bridget Fonda
Monkeybone,John Turturro
Flight of the Phoenix,Dennis Quaid
Flight of the Phoenix,Tyrese Gibson
Flight of the Phoenix,Giovanni Ribisi
Unbreakable,Bruce Willis
Unbreakable,Samuel L. Jackson
Unbreakable,Robin Wright
Minions,Sandra Bullock
Minions,Jon Hamm
Minions,Michael Keaton
Sucker Punch,Emily Browning
Sucker Punch,Abbie Cornish
Sucker Punch,Jena Malone
Snake Eyes,Nicolas Cage
Snake Eyes,Gary Sinise
Snake Eyes,John Heard
Sphere,Dustin Hoffman
Sphere,Sharon Stone
Sphere,Samuel L. Jackson
The Angry Birds Movie,Jason Sudeikis
The Angry Birds Movie,Josh Gad
The Angry Birds Movie,Danny McBride
Fool's Gold,Matthew McConaughey
Fool's Gold,Kate Hudson
Fool's Gold,Donald Sutherland
Funny People,Adam Sandler
Funny People,Seth Rogen
Funny People,Leslie Mann
The Kingdom,Jamie Foxx
The Kingdom,Jennifer Garner
The Kingdom,Chris Cooper
Talladega Nights: The Ballad of Ricky Bobby,Will Ferrell
Talladega Nights: The Ballad of Ricky Bobby,John C. Reilly
Talladega Nights: The Ballad of Ricky Bobby,Sacha Baron Cohen
Dr. Dolittle 2,Eddie Murphy
Dr. Dolittle 2,Kristen Wilson
Dr. Dolittle 2,Raven-Symoné
Braveheart,Mel Gibson
Braveheart,Catherine McCormack
Braveheart,Sophie Marceau
Jarhead,Jamie Foxx
Jarhead,Jake Gyllenhaal
Jarhead,Scott MacDonald
The Simpsons Movie,Dan Castellaneta
The Simpsons Movie,Julie Kavner
The Simpsons Movie,Nancy Cartwright
The Majestic,Jim Carrey
The Majestic,Martin Landau
The Majestic,Laurie Holden
Driven,Kip Pardue
Driven,Robert Sean Leonard
Driven,Til Schweiger
Two Brothers,Maï Anh Le
Two Brothers,Guy Pearce
Two Brothers,Oanh Nguyen
The Village,Bryce Dallas Howard
The Village,Joaquin Phoenix
The Village,Adrien Brody
Doctor Dolittle,Eddie Murphy
Doctor Dolittle,Ossie Davis
Doctor Dolittle,Oliver Platt
Signs,Mel Gibson
Signs,Joaquin Phoenix
Signs,Rory Culkin
Shrek 2,Mike Myers
Shrek 2,Eddie Murphy
Shrek 2,Cameron Diaz
Cars,Owen Wilson
Cars,Paul Newman
Cars,Bonnie Hunt
Runaway Bride,Julia Roberts
Runaway Bride,Richard Gere
Runaway Bride,Joan Cusack
xXx,Vin Diesel
xXx,Asia Argento
xXx,Samuel L. Jackson
The SpongeBob Movie: Sponge Out of Water,Tom Kenny
The SpongeBob Movie: Sponge Out of Water,Bill Fagerbakke
The SpongeBob Movie: Sponge Out of Water,Rodger Bumpass
Ransom,Mel Gibson
Ransom,Gary Sinise
Ransom,Delroy Lindo
Inglourious Basterds,Brad Pitt
Inglourious Basterds,Mélanie Laurent
Inglourious Basterds,Christoph Waltz
Hook,Robin Williams
Hook,Dustin Hoffman
Hook,Julia Roberts
Die Hard 2,Bruce Willis
Die Hard 2,Bonnie Bedelia
Die Hard 2,William Atherton
S.W.A.T.,Samuel L. Jackson
S.W.A.T.,Colin Farrell
S.W.A.T.,Michelle Rodriguez
Vanilla Sky,Tom Cruise
Vanilla Sky,Penélope Cruz
Vanilla Sky,Cameron Diaz
Lady in the Water,Paul Giamatti
Lady in the Water,Jeffrey Wright
Lady in the Water,Bob Balaban
AVP: Alien vs. Predator,Sanaa Lathan
AVP: Alien vs. Predator,Raoul Bova
AVP: Alien vs. Predator,Ewen Bremner
Alvin and the Chipmunks: The Squeakquel,Zachary Levi
Alvin and the Chipmunks: The Squeakquel,David Cross
Alvin and the Chipmunks: The Squeakquel,Jason Lee
We Were Soldiers,Mel Gibson
We Were Soldiers,Greg Kinnear
We Were Soldiers,Madeleine Stowe
Olympus Has Fallen,Gerard Butler
Olympus Has Fallen,Aaron Eckhart
Olympus Has Fallen,Angela Bassett
Star Trek: Insurrection,Patrick Stewart
Star Trek: Insurrection,Jonathan Frakes
Star Trek: Insurrection,Brent Spiner
Battle: Los Angeles,Aaron Eckhart
Battle: Los Angeles,Ramón Rodríguez
Battle: Los Angeles,Will Rothhaar
Big Fish,Ewan McGregor
Big Fish,Albert Finney
Big Fish,Billy Crudup
Wolf,Jack Nicholson
Wolf,Christopher Plummer
Wolf,James Spader
War Horse,Tom Hiddleston
War Horse,Benedict Cumberbatch
War Horse,Toby Kebbell
The Monuments Men,Matt Damon
The Monuments Men,Cate Blanchett
The Monuments Men,George Clooney
The Abyss,Ed Harris
The Abyss,Mary Elizabeth Mastrantonio
The Abyss,Michael Biehn
Wall Street: Money Never Sleeps,Michael Douglas
Wall Street: Money Never Sleeps,Shia LaBeouf
Wall Street: Money Never Sleeps,Josh Brolin
Dracula Untold,Luke Evans
Dracula Untold,Sarah Gadon
Dracula Untold,Dominic Cooper
The Siege,Denzel Washington
The Siege,Annette Bening
The Siege,Bruce Willis
Stardust,Claire Danes
Stardust,Charlie Cox
Stardust,Michelle Pfeiffer
Seven Years in Tibet,Brad Pitt
Seven Years in Tibet,Jamyang Jamtsho Wangchuk
Seven Years in Tibet,David Thewlis
The Dilemma,Kevin James
The Dilemma,Vince Vaughn
The Dilemma,Winona Ryder
Bad Company,Anthony Hopkins
Bad Company,Chris Rock
Bad Company,Peter Stormare
Doom,Dwayne Johnson
Doom,Karl Urban
Doom,Rosamund Pike
I Spy,Eddie Murphy
I Spy,Owen Wilson
I Spy,Famke Janssen
Underworld: Awakening,Kate Beckinsale
Underworld: Awakening,Stephen Rea
Underworld: Awakening,Michael Ealy
Rock of Ages,Julianne Hough
Rock of Ages,Diego Boneta
Rock of Ages,Tom Cruise
Hart's War,Bruce Willis
Hart's War,Colin Farrell
Hart's War,Terrence Howard
Killer Elite,Jason Statham
Killer Elite,Clive Owen
Killer Elite,Robert De Niro
Rollerball,Chris Klein
Rollerball,LL Cool J
Rollerball,Rebecca Romijn
Ballistic: Ecks vs. Sever,Antonio Banderas
Ballistic: Ecks vs. Sever,Lucy Liu
Ballistic: Ecks vs. Sever,Gregg Henry
Hard Rain,Morgan Freeman
Hard Rain,Christian Slater
Hard Rain,Randy Quaid
Osmosis Jones,Chris Rock
Osmosis Jones,Laurence Fishburne
Osmosis Jones,David Hyde Pierce
Legends of Oz: Dorothy's Return,Lea Michele
Legends of Oz: Dorothy's Return,Dan Aykroyd
Legends of Oz: Dorothy's Return,Patrick Stewart
Blackhat,Chris Hemsworth
Blackhat,Leehom Wang
Blackhat,Tang Wei
Sky Captain and the World of Tomorrow,Jude Law
Sky Captain and the World of Tomorrow,Gwyneth Paltrow
Sky Captain and the World of Tomorrow,Giovanni Ribisi
Basic Instinct 2,Sharon Stone
Basic Instinct 2,David Morrissey
Basic Instinct 2,Charlotte Rampling
Escape Plan,Sylvester Stallone
Escape Plan,Arnold Schwarzenegger
Escape Plan,Jim Caviezel
The Legend of Hercules,Kellan Lutz
The Legend of Hercules,Liam McIntyre
The Legend of Hercules,Gaia Weiss
The Sum of All Fears,Ben Affleck
The Sum of All Fears,Morgan Freeman
The Sum of All Fears,James Cromwell
The Twilight Saga: Eclipse,Kristen Stewart
The Twilight Saga: Eclipse,Robert Pattinson
The Twilight Saga: Eclipse,Taylor Lautner
The Score,Robert De Niro
The Score,Edward Norton
The Score,Marlon Brando
Despicable Me,Steve Carell
Despicable Me,Jason Segel
Despicable Me,Russell Brand
Money Train,Wesley Snipes
Money Train,Woody Harrelson
Money Train,Jennifer Lopez
Ted 2,Mark Wahlberg
Ted 2,Seth MacFarlane
Ted 2,Amanda Seyfried
Agora,Rachel Weisz
Agora,Max Minghella
Agora,Oscar Isaac
Mystery Men,Ben Stiller
Mystery Men,Geoffrey Rush
Mystery Men,Claire Forlani
Hall Pass,Owen Wilson
Hall Pass,Jason Sudeikis
Hall Pass,Jenna Fischer
The Insider,Al Pacino
The Insider,Russell Crowe
The Insider,Christopher Plummer
The Finest Hours,Chris Pine
The Finest Hours,Casey Affleck
The Finest Hours,Ben Foster
Body of Lies,Leonardo DiCaprio
Body of Lies,Russell Crowe
Body of Lies,Mark Strong
Dinner for Schmucks,Steve Carell
Dinner for Schmucks,Paul Rudd
Dinner for Schmucks,Stephanie Szostak
Abraham Lincoln: Vampire Hunter,Benjamin Walker
Abraham Lincoln: Vampire Hunter,Dominic Cooper
Abraham Lincoln: Vampire Hunter,Anthony Mackie
Entrapment,Sean Connery
Entrapment,Catherine Zeta-Jones
Entrapment,Will Patton
The X Files,David Duchovny
The X Files,Gillian Anderson
The X Files,Mitch Pileggi
The Last Legion,Colin Firth
The Last Legion,Ben Kingsley
The Last Legion,Aishwarya Rai Bachchan
Saving Private Ryan,Tom Hanks
Saving Private Ryan,Matt Damon
Saving Private Ryan,Vin Diesel
Need for Speed,Aaron Paul
Need for Speed,Dominic Cooper
Need for Speed,Imogen Poots
What Women Want,Helen Hunt
What Women Want,Mel Gibson
What Women Want,Marisa Tomei
Ice Age,Ray Romano
Ice Age,John Leguizamo
Ice Age,Denis Leary
Dreamcatcher,Morgan Freeman
Dreamcatcher,Thomas Jane
Dreamcatcher,Jason Lee
Lincoln,Daniel Day-Lewis
Lincoln,Sally Field
Lincoln,David Strathairn
The Matrix,Keanu Reeves
The Matrix,Laurence Fishburne
The Matrix,Carrie-Anne Moss
Apollo 13,Tom Hanks
Apollo 13,Bill Paxton
Apollo 13,Kevin Bacon
The Santa Clause 2,Tim Allen
The Santa Clause 2,Elizabeth Mitchell
The Santa Clause 2,David Krumholtz
Les Misérables,Hugh Jackman
Les Misérables,Russell Crowe
Les Misérables,Anne Hathaway
You've Got Mail,Tom Hanks
You've Got Mail,Meg Ryan
You've Got Mail,Katie Sagona
Step Brothers,Will Ferrell
Step Brothers,John C. Reilly
Step Brothers,Mary Steenburgen
The Mask of Zorro,Antonio Banderas
The Mask of Zorro,Anthony Hopkins
The Mask of Zorro,Catherine Zeta-Jones
Due Date,Robert Downey Jr.
Due Date,Zach Galifianakis
Due Date,Michelle Monaghan
Unbroken,Jack O'Connell
Unbroken,Domhnall Gleeson
Unbroken,Garrett Hedlund
Space Cowboys,Clint Eastwood
Space Cowboys,Tommy Lee Jones
Space Cowboys,Donald Sutherland
Cliffhanger,Sylvester Stallone
Cliffhanger,John Lithgow
Cliffhanger,Michael Rooker
Broken Arrow,John Travolta
Broken Arrow,Christian Slater
Broken Arrow,Samantha Mathis
The Kid,Bruce Willis
The Kid,Spencer Breslin
The Kid,Emily Mortimer
World Trade Center,Nicolas Cage
World Trade Center,Maria Bello
World Trade Center,Maggie Gyllenhaal
Mona Lisa Smile,Julia Roberts
Mona Lisa Smile,Kirsten Dunst
Mona Lisa Smile,Julia Stiles
The Dictator,Sacha Baron Cohen
The Dictator,Sayed Badreya
The Dictator,Aasif Mandvi
Eyes Wide Shut,Tom Cruise
Eyes Wide Shut,Nicole Kidman
Eyes Wide Shut,Madison Eginton
Annie,Quvenzhané Wallis
Annie,Jamie Foxx
Annie,Rose Byrne
Focus,Will Smith
Focus,Margot Robbie
Focus,Rodrigo Santoro
This Means War,Reese Witherspoon
This Means War,Chris Pine
This Means War,Tom Hardy
Blade: Trinity,Wesley Snipes
Blade: Trinity,Kris Kristofferson
Blade: Trinity,Dominic Purcell
Red Dawn,Patrick Swayze
Red Dawn,C. Thomas Howell
Red Dawn,Lea Thompson
Primary Colors,John Travolta
Primary Colors,Emma Thompson
Primary Colors,Billy Bob Thornton
Resident Evil: Retribution,Milla Jovovich
Resident Evil: Retribution,Sienna Guillory
Resident Evil: Retribution,Michelle Rodriguez
Death Race,Jason Statham
Death Race,Joan Allen
Death Race,Ian McShane
The Long Kiss Goodnight,Geena Davis
The Long Kiss Goodnight,Samuel L. Jackson
The Long Kiss Goodnight,Yvonne Zima
Proof of Life,Meg Ryan
Proof of Life,Russell Crowe
Proof of Life,David Morse
Zathura: A Space Adventure,Jonah Bobo
Zathura: A Space Adventure,Josh Hutcherson
Zathura: A Space Adventure,Dax Shepard
Fight Club,Edward Norton
Fight Club,Brad Pitt
Fight Club,Meat Loaf
We Are Marshall,Matthew McConaughey
We Are Marshall,Matthew Fox
We Are Marshall,Anthony Mackie
Hudson Hawk,Bruce Willis
Hudson Hawk,Danny Aiello
Hudson Hawk,Andie MacDowell
Lucky Numbers,John Travolta
Lucky Numbers,Lisa Kudrow
Lucky Numbers,Tim Roth
"I, Frankenstein",Aaron Eckhart
"I, Frankenstein",Yvonne Strahovski
"I, Frankenstein",Bill Nighy
Oliver Twist,Barney Clark
Oliver Twist,Ben Kingsley
Oliver Twist,Jamie Foreman
Elektra,Jennifer Garner
Elektra,Goran Visnjic
Elektra,Will Yun Lee
Sin City: A Dame to Kill For,Mickey Rourke
Sin City: A Dame to Kill For,Jessica Alba
Sin City: A Dame to Kill For,Josh Brolin
Random Hearts,Harrison Ford
Random Hearts,Kristin Scott Thomas
Random Hearts,Charles S. Dutton
Everest,Jason Clarke
Everest,Jake Gyllenhaal
Everest,Josh Brolin
Perfume: The Story of a Murderer,Ben Whishaw
Perfume: The Story of a Murderer,Simon Chandler
Perfume: The Story of a Murderer,David Calder
Austin Powers in Goldmember,Mike Myers
Austin Powers in Goldmember,Beyoncé Knowles
Austin Powers in Goldmember,Seth Green
Astro Boy,Nicolas Cage
Astro Boy,Kristen Bell
Astro Boy,Bill Nighy
Jurassic Park,Sam Neill
Jurassic Park,Laura Dern
Jurassic Park,Jeff Goldblum
Wyatt Earp,Kevin Costner
Wyatt Earp,Dennis Quaid
Wyatt Earp,Gene Hackman
Clear and Present Danger,Harrison Ford
Clear and Present Danger,Willem Dafoe
Clear and Present Danger,Anne Archer
Dragon Blade,Jackie Chan
Dragon Blade,John Cusack
Dragon Blade,Adrien Brody
Little Man,Marlon Wayans
Little Man,Shawn Wayans
Little Man,Kerry Washington
U-571,Matthew McConaughey
U-571,Bill Paxton
U-571,Harvey Keitel
The American President,Michael Douglas
The American President,Annette Bening
The American President,Michael J. Fox
The Love Guru,Mike Myers
The Love Guru,Jessica Alba
The Love Guru,Justin Timberlake
3000 Miles to Graceland,Kurt Russell
3000 Miles to Graceland,Kevin Costner
3000 Miles to Graceland,Courteney Cox
The Hateful Eight,Samuel L. Jackson
The Hateful Eight,Kurt Russell
The Hateful Eight,Jennifer Jason Leigh
Blades of Glory,Will Ferrell
Blades of Glory,Jon Heder
Blades of Glory,Will Arnett
Hop,Russell Brand
Hop,James Marsden
Hop,Kaley Cuoco
300,Gerard Butler
300,Lena Headey
300,Dominic West
Meet the Fockers,Ben Stiller
Meet the Fockers,Teri Polo
Meet the Fockers,Robert De Niro
Marley & Me,Owen Wilson
Marley & Me,Jennifer Aniston
Marley & Me,Eric Dane
The Green Mile,Tom Hanks
The Green Mile,Michael Clarke Duncan
The Green Mile,David Morse
Wild Hogs,Tim Allen
Wild Hogs,John Travolta
Wild Hogs,Martin Lawrence
Chicken Little,Zach Braff
Chicken Little,Joan Cusack
Chicken Little,Dan Molina
Gone Girl,Ben Affleck
Gone Girl,Rosamund Pike
Gone Girl,Carrie Coon
The Bourne Identity,Matt Damon
The Bourne Identity,Franka Potente
The Bourne Identity,Chris Cooper
GoldenEye,Pierce Brosnan
GoldenEye,Sean Bean
GoldenEye,Izabella Scorupco
The General's Daughter,John Travolta
The General's Daughter,Madeleine Stowe
The General's Daughter,James Cromwell
The Truman Show,Jim Carrey
The Truman Show,Laura Linney
The Truman Show,Noah Emmerich
The Prince of Egypt,Val Kilmer
The Prince of Egypt,Ralph Fiennes
The Prince of Egypt,Patrick Stewart
Daddy Day Care,Eddie Murphy
Daddy Day Care,Jeff Garlin
Daddy Day Care,Steve Zahn
2 Guns,Denzel Washington
2 Guns,Mark Wahlberg
2 Guns,Paula Patton
Cats & Dogs,Jeff Goldblum
Cats & Dogs,Elizabeth Perkins
Cats & Dogs,Alexander Pollock
The Italian Job,Mark Wahlberg
The Italian Job,Charlize Theron
The Italian Job,Edward Norton
Two Weeks Notice,Sandra Bullock
Two Weeks Notice,Hugh Grant
Two Weeks Notice,Alicia Witt
Antz,Woody Allen
Antz,Dan Aykroyd
Antz,Anne Bancroft
Couples Retreat,Vince Vaughn
Couples Retreat,Malin Åkerman
Couples Retreat,Jason Bateman
Days of Thunder,Tom Cruise
Days of Thunder,Robert Duvall
Days of Thunder,Nicole Kidman
Cheaper by the Dozen 2,Steve Martin
Cheaper by the Dozen 2,Eugene Levy
Cheaper by the Dozen 2,Bonnie Hunt
Maze Runner: The Scorch Trials,Dylan O'Brien
Maze Runner: The Scorch Trials,Kaya Scodelario
Maze Runner: The Scorch Trials,Thomas Brodie-Sangster
Eat Pray Love,Julia Roberts
Eat Pray Love,James Franco
Eat Pray Love,Javier Bardem
The Family Man,Nicolas Cage
The Family Man,Téa Leoni
The Family Man,Don Cheadle
RED,Bruce Willis
RED,John Malkovich
RED,Helen Mirren
Any Given Sunday,Al Pacino
Any Given Sunday,Cameron Diaz
Any Given Sunday,Dennis Quaid
The Horse Whisperer,Robert Redford
The Horse Whisperer,Kristin Scott Thomas
The Horse Whisperer,Sam Neill
Collateral,Tom Cruise
Collateral,Jamie Foxx
Collateral,Jada Pinkett Smith
The Scorpion King,Dwayne Johnson
The Scorpion King,Kelly Hu
The Scorpion King,Michael Clarke Duncan
Ladder 49,Joaquin Phoenix
Ladder 49,John Travolta
Ladder 49,Jacinda Barrett
Jack Reacher,Tom Cruise
Jack Reacher,Rosamund Pike
Jack Reacher,Richard Jenkins
Deep Blue Sea,Thomas Jane
Deep Blue Sea,Saffron Burrows
Deep Blue Sea,LL Cool J
This Is It,Michael Jackson
This Is It,Orianthi
This Is It,Kenny Ortega
Contagion,Matt Damon
Contagion,Gwyneth Paltrow
Contagion,Kate Winslet
Kangaroo Jack,Jerry O'Connell
Kangaroo Jack,Anthony Anderson
Kangaroo Jack,Estella Warren
Coraline,Dakota Fanning
Coraline,Teri Hatcher
Coraline,Jennifer Saunders
The Happening,Mark Wahlberg
The Happening,Zooey Deschanel
The Happening,John Leguizamo
Man on Fire,Denzel Washington
Man on Fire,Dakota Fanning
Man on Fire,Marc Anthony
The Shaggy Dog,Tim Allen
The Shaggy Dog,Kristin Davis
The Shaggy Dog,Danny Glover
Starsky & Hutch,Ben Stiller
Starsky & Hutch,Owen Wilson
Starsky & Hutch,Snoop Dogg
Jingle All the Way,Arnold Schwarzenegger
Jingle All the Way,Phil Hartman
Jingle All the Way,Sinbad
Hellboy,Ron Perlman
Hellboy,Selma Blair
Hellboy,Rupert Evans
A Civil Action,John Travolta
A Civil Action,Robert Duvall
A Civil Action,Tony Shalhoub
ParaNorman,Kodi Smit-McPhee
ParaNorman,Tucker Albrizzi
ParaNorman,Jodelle Ferland
The Jackal,Bruce Willis
The Jackal,Richard Gere
The Jackal,Sidney Poitier
Paycheck,Ben Affleck
Paycheck,Aaron Eckhart
Paycheck,Uma Thurman
Up Close & Personal,Robert Redford
Up Close & Personal,Michelle Pfeiffer
Up Close & Personal,Stockard Channing
The Tale of Despereaux,Matthew Broderick
The Tale of Despereaux,Dustin Hoffman
The Tale of Despereaux,Emma Watson
The Tuxedo,Jackie Chan
The Tuxedo,Jennifer Love Hewitt
The Tuxedo,Jason Isaacs
Under Siege 2: Dark Territory,Steven Seagal
Under Siege 2: Dark Territory,Eric Bogosian
Under Siege 2: Dark Territory,Everett McGill
Jack Ryan: Shadow Recruit,Chris Pine
Jack Ryan: Shadow Recruit,Keira Knightley
Jack Ryan: Shadow Recruit,Kevin Costner
Joy,Jennifer Lawrence
Joy,Bradley Cooper
Joy,Robert De Niro
London Has Fallen,Gerard Butler
London Has Fallen,Aaron Eckhart
London Has Fallen,Morgan Freeman
Alien: Resurrection,Sigourney Weaver
Alien: Resurrection,Winona Ryder
Alien: Resurrection,Brad Dourif
Shooter,Mark Wahlberg
Shooter,Michael Peña
Shooter,Danny Glover
The Boxtrolls,Ben Kingsley
The Boxtrolls,Isaac Hempstead-Wright
The Boxtrolls,Elle Fanning
Practical Magic,Sandra Bullock
Practical Magic,Nicole Kidman
Practical Magic,Evan Rachel Wood
The Lego Movie,Chris Pratt
The Lego Movie,Will Ferrell
The Lego Movie,Elizabeth Banks
Miss Congeniality 2: Armed and Fabulous,Sandra Bullock
Miss Congeniality 2: Armed and Fabulous,Regina King
Miss Congeniality 2: Armed and Fabulous,Enrique Murciano
Reign of Fire,Christian Bale
Reign of Fire,Matthew McConaughey
Reign of Fire,Izabella Scorupco
Gangster Squad,Josh Brolin
Gangster Squad,Ryan Gosling
Gangster Squad,Nick Nolte
Year One,Jack Black
Year One,Michael Cera
Year One,Olivia Wilde
Invictus,Morgan Freeman
Invictus,Matt Damon
Invictus,Tony Kgoroge
State of Play,Russell Crowe
State of Play,Ben Affleck
State of Play,Rachel McAdams
Duplicity,Clive Owen
Duplicity,Julia Roberts
Duplicity,Paul Giamatti
My Favorite Martian,Jeff Daniels
My Favorite Martian,Elizabeth Hurley
My Favorite Martian,Daryl Hannah
The Sentinel,Michael Douglas
The Sentinel,Kiefer Sutherland
The Sentinel,Eva Longoria
Planet 51,Dwayne Johnson
Planet 51,Seann William Scott
Planet 51,Jessica Biel
Star Trek: Nemesis,Patrick Stewart
Star Trek: Nemesis,Jonathan Frakes
Star Trek: Nemesis,Brent Spiner
Intolerable Cruelty,George Clooney
Intolerable Cruelty,Catherine Zeta-Jones
Intolerable Cruelty,Edward Herrmann
Trouble with the Curve,Clint Eastwood
Trouble with the Curve,Amy Adams
Trouble with the Curve,Justin Timberlake
Edge of Darkness,Mel Gibson
Edge of Darkness,Ray Winstone
Edge of Darkness,Danny Huston
The Relic,Penelope Ann Miller
The Relic,Tom Sizemore
The Relic,Linda Hunt
Analyze That,Robert De Niro
Analyze That,Billy Crystal
Analyze That,Lisa Kudrow
Righteous Kill,Robert De Niro
Righteous Kill,Carla Gugino
Righteous Kill,50 Cent
Mercury Rising,Bruce Willis
Mercury Rising,Alec Baldwin
Mercury Rising,Miko Hughes
The Soloist,Robert Downey Jr.
The Soloist,Jamie Foxx
The Soloist,Catherine Keener
The Legend of Bagger Vance,Matt Damon
The Legend of Bagger Vance,Bruce McGill
The Legend of Bagger Vance,Charlize Theron
Almost Famous,Kate Hudson
Almost Famous,Billy Crudup
Almost Famous,Frances McDormand
Garfield: A Tail of Two Kitties,Bill Murray
Garfield: A Tail of Two Kitties,Jennifer Love Hewitt
Garfield: A Tail of Two Kitties,Billy Connolly
xXx: State of the Union,Ice Cube
xXx: State of the Union,Samuel L. Jackson
xXx: State of the Union,Willem Dafoe
Priest,Paul Bettany
Priest,Karl Urban
Priest,Cam Gigandet
Sinbad: Legend of the Seven Seas,Brad Pitt
Sinbad: Legend of the Seven Seas,Catherine Zeta-Jones
Sinbad: Legend of the Seven Seas,Michelle Pfeiffer
Event Horizon,Laurence Fishburne
Event Horizon,Sam Neill
Event Horizon,Kathleen Quinlan
Dragonfly,Kevin Costner
Dragonfly,Joe Morton
Dragonfly,Ron Rifkin
The Black Dahlia,Josh Hartnett
The Black Dahlia,Scarlett Johansson
The Black Dahlia,Aaron Eckhart
Flyboys,James Franco
Flyboys,David Ellison
Flyboys,Jean Reno
The Last Castle,Robert Redford
The Last Castle,James Gandolfini
The Last Castle,Mark Ruffalo
Supernova,James Spader
Supernova,Angela Bassett
Supernova,Robert Forster
Winter's Tale,Colin Farrell
Winter's Tale,Jessica Brown Findlay
Winter's Tale,Russell Crowe
The Mortal Instruments: City of Bones,Lily Collins
The Mortal Instruments: City of Bones,Jamie Campbell Bower
The Mortal Instruments: City of Bones,Kevin Zegers
Meet Dave,Eddie Murphy
Meet Dave,Elizabeth Banks
Meet Dave,Gabrielle Union
Dark Water,Jennifer Connelly
Dark Water,John C. Reilly
Dark Water,Tim Roth
Edtv,Matthew McConaughey
Edtv,Woody Harrelson
Edtv,Sally Kirkland
Inkheart,Brendan Fraser
Inkheart,Sienna Guillory
Inkheart,Andy Serkis
The Spirit,Gabriel Macht
The Spirit,Scarlett Johansson
The Spirit,Samuel L. Jackson
Mortdecai,Johnny Depp
Mortdecai,Gwyneth Paltrow
Mortdecai,Ewan McGregor
In the Name of the King: A Dungeon Siege Tale,Jason Statham
In the Name of the King: A Dungeon Siege Tale,John Rhys-Davies
In the Name of the King: A Dungeon Siege Tale,Ray Liotta
Beyond Borders,Angelina Jolie
Beyond Borders,Clive Owen
Beyond Borders,Teri Polo
The Monkey King 2,Aaron Kwok
The Monkey King 2,Gong Li
The Monkey King 2,William Feng
The Great Raid,Benjamin Bratt
The Great Raid,James Franco
The Great Raid,Connie Nielsen
Deadpool,Ryan Reynolds
Deadpool,Morena Baccarin
Deadpool,Ed Skrein
Holy Man,Eddie Murphy
Holy Man,Jeff Goldblum
Holy Man,Kelly Preston
American Sniper,Bradley Cooper
American Sniper,Sienna Miller
American Sniper,Kyle Gallner
