Title,Actor
Brave,Julie Walters
Brave,Billy Connolly
Star Trek Beyond,Chris Pine
Star Trek Beyond,Zachary Quinto
Star Trek Beyond,Karl Urban
WALL·E,Ben Burtt
WALL·E,Elissa Knight
WALL·E,Jeff Garlin
Rush Hour 3,Chris Tucker
Rush Hour 3,Jackie Chan
Rush Hour 3,Hiroyuki Sanada
2012,John Cusack
2012,Amanda Peet
2012,Chiwetel Ejiofor
A Christmas Carol,Gary Oldman
A Christmas Carol,Jim Carrey
A Christmas Carol,Steve Valentine
Jupiter Ascending,Mila Kunis
Jupiter Ascending,Channing Tatum
Jupiter Ascending,Sean Bean
The Legend of Tarzan,Alexander Skarsgård
The Legend of Tarzan,Margot Robbie
The Legend of Tarzan,Christoph Waltz
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Anna Popplewell
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Skandar Keynes
X-Men: Apocalypse,James McAvoy
X-Men: Apocalypse,Michael Fassbender
X-Men: Apocalypse,Jennifer Lawrence
The Dark Knight,Christian Bale
The Dark Knight,Heath Ledger
The Dark Knight,Aaron Eckhart
Up,Ed Asner
Up,Christopher Plummer
Up,Jordan Nagai
Monsters vs Aliens,Seth Rogen
Monsters vs Aliens,Reese Witherspoon
Monsters vs Aliens,Hugh Laurie
Iron Man,Robert Downey Jr.
Iron Man,Terrence Howard
Iron Man,Jeff Bridges
Hugo,Ben Kingsley
Hugo,Sacha Baron Cohen
Hugo,Asa Butterfield
Wild Wild West,Will Smith
Wild Wild West,Kevin Kline
Wild Wild West,Kenneth Branagh
The Mummy: Tomb of the Dragon Emperor,Brendan Fraser
The Mummy: Tomb of the Dragon Emperor,Jet Li
The Mummy: Tomb of the Dragon Emperor,John Hannah
Suicide Squad,Will Smith
Suicide Squad,Margot Robbie
Suicide Squad,Joel Kinnaman
Evan Almighty,Steve Carell
Evan Almighty,Lauren Graham
Evan Almighty,John Goodman
Edge of Tomorrow,Tom Cruise
Edge of Tomorrow,Emily Blunt
Edge of Tomorrow,Brendan Gleeson
Waterworld,Kevin Costner
Waterworld,Chaim Girafi
Waterworld,Rick Aviles
G.I. Joe: The Rise of Cobra,Dennis Quaid
G.I. Joe: The Rise of Cobra,Channing Tatum
G.I. Joe: The Rise of Cobra,Marlon Wayans
Inside Out,Amy Poehler
Inside Out,Phyllis Smith
Inside Out,Richard Kind
The Jungle Book,Neel Sethi
The Jungle Book,Bill Murray
The Jungle Book,Ben Kingsley
Iron Man 2,Robert Downey Jr.
Iron Man 2,Gwyneth Paltrow
Iron Man 2,Don Cheadle
Snow White and the Huntsman,Kristen Stewart
Snow White and the Huntsman,Charlize Theron
Snow White and the Huntsman,Chris Hemsworth
Maleficent,Angelina Jolie
Maleficent,Elle Fanning
Maleficent,Sharlto Copley
Dawn of the Planet of the Apes,Andy Serkis
Dawn of the Planet of the Apes,Jason Clarke
Dawn of the Planet of the Apes,Gary Oldman
The Lovers,Josh Hartnett
The Lovers,Simone Kessell
The Lovers,Tamsin Egerton
47 Ronin,Keanu Reeves
47 Ronin,Hiroyuki Sanada
47 Ronin,Kou Shibasaki
Captain America: The Winter Soldier,Chris Evans
Captain America: The Winter Soldier,Samuel L. Jackson
Captain America: The Winter Soldier,Scarlett Johansson
Shrek Forever After,Mike Myers
Shrek Forever After,Eddie Murphy
Shrek Forever After,Cameron Diaz
Tomorrowland,Britt Robertson
Tomorrowland,George Clooney
Tomorrowland,Raffey Cassidy
Big Hero 6,Scott Adsit
Big Hero 6,Ryan Potter
Big Hero 6,Daniel Henney
Wreck-It Ralph,John C. Reilly
Wreck-It Ralph,Sarah Silverman
Wreck-It Ralph,Jack McBrayer
The Polar Express,Tom Hanks
The Polar Express,Michael Jeter
The Polar Express,Nona Gaye
Independence Day: Resurgence,Liam Hemsworth
Independence Day: Resurgence,Jeff Goldblum
Independence Day: Resurgence,Bill Pullman
How to Train Your Dragon,Jay Baruchel
How to Train Your Dragon,Gerard Butler
How to Train Your Dragon,Craig Ferguson
Terminator 3: Rise of the Machines,Arnold Schwarzenegger
Terminator 3: Rise of the Machines,Nick Stahl
Terminator 3: Rise of the Machines,Claire Danes
Guardians of the Galaxy,Chris Pratt
Guardians of the Galaxy,Zoe Saldana
Guardians of the Galaxy,Dave Bautista
Interstellar,Matthew McConaughey
Interstellar,Jessica Chastain
Interstellar,Anne Hathaway
Inception,Leonardo DiCaprio
Inception,Joseph Gordon-Levitt
Inception,Ellen Page
Shin Godzilla,Hiroki Hasegawa
Shin Godzilla,Yutaka Takenouchi
Shin Godzilla,Satomi Ishihara
The Hobbit: An Unexpected Journey,Ian McKellen
The Hobbit: An Unexpected Journey,Martin Freeman
The Hobbit: An Unexpected Journey,Richard Armitage
The Fast and the Furious,Paul Walker
The Fast and the Furious,Vin Diesel
The Fast and the Furious,Michelle Rodriguez
The Curious Case of Benjamin Button,Cate Blanchett
The Curious Case of Benjamin Button,Brad Pitt
The Curious Case of Benjamin Button,Tilda Swinton
X-Men: First Class,James McAvoy
X-Men: First Class,Michael Fassbender
X-Men: First Class,Jennifer Lawrence
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence
The Hunger Games: Mockingjay - Part 2,Josh Hutcherson
The Hunger Games: Mockingjay - Part 2,Liam Hemsworth
The Sorcerer's Apprentice,Nicolas Cage
The Sorcerer's Apprentice,Jay Baruchel
The Sorcerer's Apprentice,Monica Bellucci
Poseidon,Kurt Russell
Poseidon,Richard Dreyfuss
Poseidon,Josh Lucas
Alice Through the Looking Glass,Johnny Depp
Alice Through the Looking Glass,Mia Wasikowska
Alice Through the Looking Glass,Anne Hathaway
Shrek the Third,Mike Myers
Shrek the Third,Eddie Murphy
Shrek the Third,Cameron Diaz
Warcraft,Paula Patton
Warcraft,Travis Fimmel
Warcraft,Ben Foster
Terminator Genisys,Arnold Schwarzenegger
Terminator Genisys,Jason Clarke
Terminator Genisys,Emilia Clarke
The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes
The Chronicles of Narnia: The Voyage of the Dawn Treader,Georgie Henley
The Chronicles of Narnia: The Voyage of the Dawn Treader,Simon Pegg
Pearl Harbor,Ben Affleck
Pearl Harbor,Josh Hartnett
Pearl Harbor,Kate Beckinsale
Transformers,Shia LaBeouf
Transformers,Josh Duhamel
Transformers,Megan Fox
Alexander,Colin Farrell
Alexander,Angelina Jolie
Alexander,Val Kilmer
Harry Potter and the Order of the Phoenix,Daniel Radcliffe
Harry Potter and the Order of the Phoenix,Rupert Grint
Harry Potter and the Order of the Phoenix,Emma Watson
Harry Potter and the Goblet of Fire,Daniel Radcliffe
Harry Potter and the Goblet of Fire,Rupert Grint
Harry Potter and the Goblet of Fire,Emma Watson
Hancock,Will Smith
Hancock,Charlize Theron
Hancock,Jason Bateman
I Am Legend,Will Smith
I Am Legend,Alice Braga
I Am Legend,Charlie Tahan
Charlie and the Chocolate Factory,Johnny Depp
Charlie and the Chocolate Factory,Freddie Highmore
Charlie and the Chocolate Factory,David Kelly
Ratatouille,Patton Oswalt
Ratatouille,Ian Holm
Ratatouille,Lou Romano
Batman Begins,Christian Bale
Batman Begins,Michael Caine
Batman Begins,Liam Neeson
Madagascar: Escape 2 Africa,Ben Stiller
Madagascar: Escape 2 Africa,Jada Pinkett Smith
Madagascar: Escape 2 Africa,David Schwimmer
Night at the Museum: Battle of the Smithsonian,Ben Stiller
Night at the Museum: Battle of the Smithsonian,Amy Adams
Night at the Museum: Battle of the Smithsonian,Owen Wilson
X-Men Origins: Wolverine,Hugh Jackman
X-Men Origins: Wolverine,Liev Schreiber
X-Men Origins: Wolverine,Danny Huston
The Matrix Revolutions,Keanu Reeves
The Matrix Revolutions,Laurence Fishburne
The Matrix Revolutions,Carrie-Anne Moss
Frozen,Kristen Bell
Frozen,Idina Menzel
Frozen,Jonathan Groff
The Matrix Reloaded,Keanu Reeves
The Matrix Reloaded,Carrie-Anne Moss
The Matrix Reloaded,Laurence Fishburne
Thor: The Dark World,Chris Hemsworth
Thor: The Dark World,Natalie Portman
Thor: The Dark World,Tom Hiddleston
Mad Max: Fury Road,Tom Hardy
Mad Max: Fury Road,Charlize Theron
Mad Max: Fury Road,Nicholas Hoult
Angels & Demons,Tom Hanks
Angels & Demons,Ewan McGregor
Angels & Demons,Ayelet Zurer
Thor,Chris Hemsworth
Thor,Natalie Portman
Thor,Tom Hiddleston
Bolt,John Travolta
Bolt,Miley Cyrus
Bolt,Susie Essman
G-Force,Sam Rockwell
G-Force,Penélope Cruz
G-Force,Tracy Morgan
Wrath of the Titans,Sam Worthington
Wrath of the Titans,Liam Neeson
Wrath of the Titans,Ralph Fiennes
Dark Shadows,Johnny Depp
Dark Shadows,Michelle Pfeiffer
Dark Shadows,Helena Bonham Carter
Mission: Impossible - Rogue Nation,Tom Cruise
Mission: Impossible - Rogue Nation,Rebecca Ferguson
Mission: Impossible - Rogue Nation,Simon Pegg
The Wolfman,Benicio del Toro
The Wolfman,Anthony Hopkins
The Wolfman,Emily Blunt
Bee Movie,Jerry Seinfeld
Bee Movie,Renée Zellweger
Bee Movie,Jim Cummings
Kung Fu Panda 2,Jack Black
Kung Fu Panda 2,Angelina Jolie
Kung Fu Panda 2,Dustin Hoffman
The Last Airbender,Noah Ringer
The Last Airbender,Nicola Peltz
The Last Airbender,Jackson Rathbone
Mission: Impossible III,Tom Cruise
Mission: Impossible III,Philip Seymour Hoffman
Mission: Impossible III,Ving Rhames
White House Down,Channing Tatum
White House Down,Jamie Foxx
White House Down,Joey King
Mars Needs Moms,Seth Green
Mars Needs Moms,Joan Cusack
Mars Needs Moms,Dan Fogler
Flushed Away,Hugh Jackman
Flushed Away,Kate Winslet
Flushed Away,Ian McKellen
Pan,Levi Miller
Pan,Garrett Hedlund
Pan,Hugh Jackman
Mr. Peabody & Sherman,Ty Burrell
Mr. Peabody & Sherman,Max Charles
Mr. Peabody & Sherman,Ariel Winter
Troy,Brad Pitt
Troy,Orlando Bloom
Troy,Eric Bana
Madagascar 3: Europe's Most Wanted,Ben Stiller
Madagascar 3: Europe's Most Wanted,Sacha Baron Cohen
Madagascar 3: Europe's Most Wanted,David Schwimmer
Die Another Day,Pierce Brosnan
Die Another Day,Halle Berry
Die Another Day,Rosamund Pike
Ghostbusters,Melissa McCarthy
Ghostbusters,Kristen Wiig
Ghostbusters,Kate McKinnon
Armageddon,Bruce Willis
Armageddon,Billy Bob Thornton
Armageddon,Ben Affleck
Men in Black II,Tommy Lee Jones
Men in Black II,Will Smith
Men in Black II,Rip Torn
Beowulf,Ray Winstone
Beowulf,Angelina Jolie
Beowulf,Anthony Hopkins
Kung Fu Panda 3,Jack Black
Kung Fu Panda 3,Bryan Cranston
Kung Fu Panda 3,Dustin Hoffman
Mission: Impossible - Ghost Protocol,Tom Cruise
Mission: Impossible - Ghost Protocol,Jeremy Renner
Mission: Impossible - Ghost Protocol,Simon Pegg
Rise of the Guardians,Chris Pine
Rise of the Guardians,Alec Baldwin
Rise of the Guardians,Jude Law
Fun with Dick and Jane,Jim Carrey
Fun with Dick and Jane,Téa Leoni
Fun with Dick and Jane,Alec Baldwin
The Last Samurai,Tom Cruise
The Last Samurai,Ken Watanabe
The Last Samurai,William Atherton
Exodus: Gods and Kings,Christian Bale
Exodus: Gods and Kings,Joel Edgerton
Exodus: Gods and Kings,John Turturro
Star Trek,Chris Pine
Star Trek,Zachary Quinto
Star Trek,Leonard Nimoy
Spider-Man,Tobey Maguire
Spider-Man,Willem Dafoe
Spider-Man,Kirsten Dunst
How to Train Your Dragon 2,Jay Baruchel
How to Train Your Dragon 2,Gerard Butler
How to Train Your Dragon 2,Kristen Wiig
Gods of Egypt,Brenton Thwaites
Gods of Egypt,Nikolaj Coster-Waldau
Gods of Egypt,Gerard Butler
Stealth,Josh Lucas
Stealth,Jessica Biel
Stealth,Jamie Foxx
Watchmen,Malin Åkerman
Watchmen,Billy Crudup
Watchmen,Carla Gugino
Lethal Weapon 4,Mel Gibson
Lethal Weapon 4,Danny Glover
Lethal Weapon 4,Joe Pesci
Hulk,Eric Bana
Hulk,Jennifer Connelly
Hulk,Sam Elliott
G.I. Joe: Retaliation,Dwayne Johnson
G.I. Joe: Retaliation,D.J. Cotrona
G.I. Joe: Retaliation,Adrianne Palicki
Sahara,Matthew McConaughey
Sahara,Penélope Cruz
Sahara,Steve Zahn
Final Fantasy: The Spirits Within,Donald Sutherland
Final Fantasy: The Spirits Within,Ming-Na Wen
Final Fantasy: The Spirits Within,Alec Baldwin
Captain America: The First Avenger,Chris Evans
Captain America: The First Avenger,Hugo Weaving
Captain America: The First Avenger,Tommy Lee Jones
The World Is Not Enough,Pierce Brosnan
The World Is Not Enough,Sophie Marceau
The World Is Not Enough,Robert Carlyle
Master and Commander: The Far Side of the World,Russell Crowe
Master and Commander: The Far Side of the World,Paul Bettany
Master and Commander: The Far Side of the World,James D'Arcy
The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart
The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson
The Twilight Saga: Breaking Dawn - Part 2,Taylor Lautner
Happy Feet Two,Elijah Wood
Happy Feet Two,Robin Williams
Happy Feet Two,Pink
The Incredible Hulk,Edward Norton
The Incredible Hulk,Liv Tyler
The Incredible Hulk,Tim Roth
The BFG,Ruby Barnhill
The BFG,Mark Rylance
The BFG,Rebecca Hall
The Revenant,Leonardo DiCaprio
The Revenant,Tom Hardy
The Revenant,Will Poulter
Turbo,Ryan Reynolds
Turbo,Paul Giamatti
Turbo,Michael Peña
Rango,Johnny Depp
Rango,Isla Fisher
Rango,Ned Beatty
Penguins of Madagascar,Tom McGrath
Penguins of Madagascar,Chris Miller
Penguins of Madagascar,Christopher Knights
The Bourne Ultimatum,Matt Damon
The Bourne Ultimatum,Julia Stiles
The Bourne Ultimatum,David Strathairn
Kung Fu Panda,Jack Black
Kung Fu Panda,Dustin Hoffman
Kung Fu Panda,Angelina Jolie
Ant-Man,Paul Rudd
Ant-Man,Michael Douglas
Ant-Man,Evangeline Lilly
The Hunger Games: Catching Fire,Jennifer Lawrence
The Hunger Games: Catching Fire,Josh Hutcherson
The Hunger Games: Catching Fire,Liam Hemsworth
Home,Jim Parsons
Home,Rihanna
Home,Steve Martin
War of the Worlds,Tom Cruise
War of the Worlds,Dakota Fanning
War of the Worlds,Miranda Otto
Bad Boys II,Martin Lawrence
Bad Boys II,Will Smith
Bad Boys II,Jordi Mollà
Puss in Boots,Antonio Banderas
Puss in Boots,Salma Hayek
Puss in Boots,Zach Galifianakis
Salt,Angelina Jolie
Salt,Liev Schreiber
Salt,Chiwetel Ejiofor
Noah,Russell Crowe
Noah,Jennifer Connelly
Noah,Emma Watson
The Adventures of Tintin,Jamie Bell
The Adventures of Tintin,Andy Serkis
The Adventures of Tintin,Daniel Craig
Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe
Harry Potter and the Prisoner of Azkaban,Rupert Grint
Harry Potter and the Prisoner of Azkaban,Emma Watson
Australia,Nicole Kidman
Australia,Hugh Jackman
Australia,Essie Davis
After Earth,Jaden Smith
After Earth,Will Smith
After Earth,Sophie Okonedo
Dinosaur,D. B. Sweeney
Dinosaur,Alfre Woodard
Dinosaur,Ossie Davis
Night at the Museum: Secret of the Tomb,Ben Stiller
Night at the Museum: Secret of the Tomb,Rami Malek
Night at the Museum: Secret of the Tomb,Rebel Wilson
Megamind,Will Ferrell
Megamind,Brad Pitt
Megamind,Tina Fey
Harry Potter and the Philosopher's Stone,Daniel Radcliffe
Harry Potter and the Philosopher's Stone,Rupert Grint
Harry Potter and the Philosopher's Stone,Emma Watson
