Type,Rating,Latitude,Longitude,Year,Magnitude,Mass,VEI
Volcano,3,-0.677,-78.436,-455.0,,,4.0
Volcano,3,14.82,-61.17,1902.0,,,4.0
Volcano,3,19.514,-103.62,1913.0,,,4.0
Volcano,3,31.58,130.67,1914.0,,,4.0
Volcano,3,-1.4669999999999999,-78.442,1916.0,,,4.0
Volcano,3,0.32,127.4,1861.0,,,4.0
Volcano,3,63.63,-19.05,1918.0,,,4.0
Volcano,3,42.07,140.68,1856.0,,,4.0
Volcano,3,-7.93,112.30799999999999,1919.0,,,4.0
Volcano,3,42.07,140.68,1929.0,,,4.0
Volcano,3,63.98,-19.7,1845.0,,,4.0
Volcano,3,14.472999999999999,-90.88,1932.0,,,4.0
Volcano,3,30.43,130.22,1933.0,,,4.0
Volcano,3,-4.271,152.203,1937.0,,,4.0
Volcano,3,19.48,-102.25,1943.0,,,4.0
Volcano,3,48.092,153.2,1946.0,,,4.0
Volcano,3,14.002,120.993,1716.0,,,4.0
Volcano,3,-0.17,121.60799999999999,1983.0,,,4.0
Volcano,3,31.58,130.67,1781.0,,,4.0
Volcano,3,-1.4669999999999999,-78.442,1886.0,,,4.0
Volcano,3,36.404,25.396,1650.0,,,4.0
Volcano,3,63.63,-19.05,1580.0,,,4.0
Volcano,3,-8.125,114.042,1638.0,,,4.0
Volcano,3,14.472999999999999,-90.88,1581.0,,,4.0
Volcano,3,56.653,161.36,1999.0,,,4.0
Volcano,3,61.3,-152.25,1992.0,,,4.0
Volcano,3,63.63,-19.05,1357.0,,,4.0
Volcano,3,-7.93,112.30799999999999,1990.0,,,4.0
Volcano,3,0.32,127.4,1646.0,,,4.0
Volcano,3,-7.542000000000001,110.44200000000001,1587.0,,,4.0
Volcano,3,37.77,-25.32,1630.0,,,4.0
Volcano,3,59.37,-153.42,1540.0,,,4.0
Volcano,3,-6.3,130.0,1692.0,,,4.0
Volcano,3,63.98,-19.7,1597.0,,,4.0
Volcano,3,63.63,-19.05,1311.0,,,4.0
Volcano,3,-6.92,129.125,1660.0,,,4.0
Volcano,3,63.63,-19.05,1500.0,,,4.0
Volcano,3,-4.1,145.061,2005.0,,,4.0
Volcano,3,35.35,138.73,1707.0,,,4.0
Volcano,3,4.895,-75.322,1595.0,,,4.0
Volcano,3,63.63,-19.05,1660.0,,,4.0
Volcano,3,63.98,-19.7,1693.0,,,4.0
Volcano,3,63.98,-19.7,1300.0,,,4.0
Volcano,3,-4.1,145.061,2007.0,,,4.0
Volcano,3,63.98,-19.7,1510.0,,,4.0
Volcano,3,63.98,-19.7,1510.0,,,4.0
Volcano,3,-0.078,-77.656,2002.0,,,4.0
Volcano,3,-6.92,129.125,1659.0,,,4.0
Volcano,2,13.812999999999999,-89.633,1920.0,,,3.0
Volcano,2,-8.32,121.708,1928.0,,,3.0
Volcano,2,13.257,123.685,1928.0,,,3.0
Volcano,2,-41.326,-72.61399999999999,1929.0,,,3.0
Volcano,2,43.42,142.68,1926.0,,,3.0
Volcano,2,-7.542000000000001,110.44200000000001,1930.0,,,3.0
Volcano,2,14.755999999999998,-91.552,1929.0,,,3.0
Volcano,2,36.4,138.53,1930.0,,,3.0
Volcano,2,14.380999999999998,-90.601,1995.0,,,3.0
Volcano,2,19.023,-98.62200000000001,1996.0,,,3.0
Volcano,2,52.82,-169.95,1944.0,,,3.0
Volcano,2,-0.9,-91.42,1943.0,,,3.0
Volcano,2,64.42,-17.33,1996.0,,,3.0
Volcano,2,-1.4669999999999999,-78.442,2006.0,,,3.0
Volcano,2,36.4,138.53,1936.0,,,3.0
Volcano,2,-4.1,145.061,1996.0,,,3.0
Volcano,2,49.12,154.50799999999998,1933.0,,,3.0
Volcano,2,36.62,138.55,1932.0,,,3.0
Volcano,2,16.72,-62.18,1997.0,,,3.0
Volcano,2,36.4,138.53,1931.0,,,3.0
Volcano,2,-7.542000000000001,110.44200000000001,1920.0,,,3.0
Volcano,2,16.72,-62.18,1997.0,,,3.0
Volcano,2,38.789,15.213,1930.0,,,3.0
Volcano,2,-8.107999999999999,112.92,1997.0,,,3.0
